"Refs","Value","Footprint","Qty","Datasheet"
"C1-C4,C6-C8","100nF 50V","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","7",""
"C5","10uF 50V","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","1",""
"J1,J2","SMA","Connector_Coaxial:SMA_Amphenol_132134_Vertical","2",""
"J3","Screw_Terminal_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","1",""
"Q1-Q4","PN2222A","Package_TO_SOT_THT:TO-92_Inline_Wide","4","https://www.onsemi.com/pub/Collateral/PN2222-D.PDF"
"R1","1M 1/4W","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R2","910 2W","Resistor_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P20.32mm_Horizontal","1",""
"R3","10k 1/4W","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R4","360 1/4W","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R5","100k 1/4W","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R6","22k 1/4W","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R7,R9","1k 1/4W","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2",""
"R8","10 1/4W","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"TP1-TP5","TestPoint","TestPoint:TestPoint_Keystone_5000-5004_Miniature","5",""
